187;11;Глубокий сон / The Big Sleep;1946;;;65
188;4;Лучшие годы нашей жизни / The Best Years of Our Lives;1946;;;292
189;10;Проход каньона / Canyon Passage;1946;;;125
190;10;Дуэль под солнцем / Duel in the Sun;1947;;;153
191;1;Земля дрожит / La Terra Trema;1948;;21;182
192;1;Красные башмачки / The Red Shoes;1948;;9;346
193;1;Похитители велосипедов / Ladri di biciclette;1948;;21;52
194;3;Письмо незнакомки / Letter from an Unknown Woman;1948;;;189
195;7;Пасхальный парад / Easter Parade;1948;;;334
196;10;Красная река / Red River;1948;;;65
197;2;Кровь животных / Le sang des betes;1949;;44;136
198;6;Белая горячка / White Heat;1949;;;240
199;1;Дневник сельского священника / Journal d’un cure de campagne;1950;;44;249
200;1;Третий человек / The Third Man;1950;;9;169
201;1;Забытые / Los Olvidados;1950;;29;181
202;1;Бульвар Сансет / Sunset Boulevard;1950;;39;37
203;1;Расёмон / Rashomon;1950;;56;5
204;2;Кон-Тики / Kon Tiki;1950;;32;289
205;11;Без ума от оружия / Gun Crazy;1950;;;90
206;6;Асфальтовые джунгли / The Asphalt Jungle;1950;;;100
207;3;Всё о Еве / All about Eve;1950;;;87
208;1;Река / The River;1951;;45;128
209;8;Нечто / The Thing;1951;;;166
210;12;День, когда Земля остановилась / The Day the Earth Stood Still;1951;;;255
211;1;Запрещённые игры / Les Jeux interdits;1952;;44;241
212;2;На улице / In the Street;1952;;39;78
213;3;Злые и красивые / The Bad and the Beautiful;1952;;;50
214;7;Поющие под дождём / Singin’ in the Rain;1952;;;275
215;10;Ровно в полдень / High Noon;1952;;;313
216;1;Мадам де… / Madame De;1953;;44;189
217;1;Токийская повесть / Tokyo monogatari;1953;;56;357
218;1;Плата за страх / Le Salaire de la peur;1953;;44;23
219;1;Сказки туманной луны после дождя / Ugetsu Monogatari;1953;;56;168
220;1;Каникулы господина Юло / Les Vacances de M. Hulot;1953;;44;124
221;1;Соль Земли / Salt of the Earth;1953;;39;62
222;1;Путешествие в Италию / Viaggio in Italia;1953;;21;257
223;1;Маленький беглец / The Little Fugitive;1953;;39;262
224;7;Театральный фургон / The Band Wagon;1953;;;50
225;5;Плащаница / The Robe;1953;;;60
226;11;Сильная жара / The Big Heat;1953;;;317
227;4;Отныне и во веки веков / From Here to Eternity;1953;;;313
228;12;Война миров / The War of the Worlds;1953;;;31
229;1;Семь самураев / Shichinin no samurai;1954;;56;5
230;1;Управляющий Сансё / Sansho dayu;1954;;56;168
231;1;В порту / On the Waterfront;1954;;39;345
232;1;Слово / Ordet;1954;;15;147
233;1;Дорога / La Strada;1954;;21;301
234;10;Джонни-гитара / Johnny Guitar;1954;;;218
235;1;Боб-прожигатель / Bob le Flambeur;1955;;44;134
236;1;Смерть велосипедиста / Muerte de un ciclista;1955;;20;328
237;1;Песнь дороги / Pather Panchali;1955;;18;263
238;2;Ночь и туман / Nuit et Brouillard;1955;;44;12
239;11;Целуй меня насмерть / Kiss Me Deadly;1955;;;252
240;8;Ночь охотника / The Night of the Hunter;1955;;;333
241;12;Этот остров Земля / This Island Earth;1955;;;88
242;10;Человек из Ларами / The Man from Laramie;1955;;;351
243;1;Канал / Kanal;1956;;33;21
